,cluster,prometheus,prometheus_replica,_sample_start,_sample_end,_min_time,_max_time,_count,_sum,_min,_max
48,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 18:00:00,2022-05-30 18:15:00,2022-05-30 18:00:20,2022-05-30 18:14:50,30,219.57381909791266,6.6615238095190215,7.810682736620312
49,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 18:15:00,2022-05-30 18:30:00,2022-05-30 18:15:20,2022-05-30 18:29:50,30,209.8729329125968,6.656476190482225,7.450761904749312
50,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 18:30:00,2022-05-30 18:45:00,2022-05-30 18:30:20,2022-05-30 18:44:50,30,210.27239966301093,6.588666666658332,7.3106666666588636
51,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 18:45:00,2022-05-30 19:00:00,2022-05-30 18:45:20,2022-05-30 18:59:50,30,211.7078948821581,6.709428571435138,7.39828571427747
52,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 19:00:00,2022-05-30 19:15:00,2022-05-30 19:00:20,2022-05-30 19:14:50,30,222.96379142596402,6.81552380953162,8.33847619047433
53,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 19:15:00,2022-05-30 19:30:00,2022-05-30 19:15:20,2022-05-30 19:29:50,30,212.8174025689869,6.753906707535746,7.519619047615145
54,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 19:30:00,2022-05-30 19:45:00,2022-05-30 19:30:20,2022-05-30 19:44:50,30,214.31425548526525,6.651660468731914,7.557428571424403
55,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 19:45:00,2022-05-30 20:00:00,2022-05-30 19:45:20,2022-05-30 19:59:50,30,214.18825689266893,6.875809523806954,7.426032336392883
56,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 20:00:00,2022-05-30 20:15:00,2022-05-30 20:00:20,2022-05-30 20:14:50,30,218.32389436455583,6.7731428571466745,7.716476190480449
57,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 20:15:00,2022-05-30 20:30:00,2022-05-30 20:15:20,2022-05-30 20:29:50,30,213.2439337123886,6.778952380950521,7.620476190488611
58,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 20:30:00,2022-05-30 20:45:00,2022-05-30 20:30:20,2022-05-30 20:44:50,30,211.11304247450542,6.546190476193582,7.64723809523774
59,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 20:45:00,2022-05-30 21:00:00,2022-05-30 20:45:20,2022-05-30 20:59:50,30,211.55965061007984,6.711428571430348,7.297619047621267
60,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 21:00:00,2022-05-30 21:15:00,2022-05-30 21:00:20,2022-05-30 21:14:50,30,217.36628295083932,6.796190476191365,7.7355238095125465
61,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 21:15:00,2022-05-30 21:30:00,2022-05-30 21:15:20,2022-05-30 21:29:50,30,211.6410798504883,6.727028989410576,7.348857142862733
62,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 21:30:00,2022-05-30 21:45:00,2022-05-30 21:30:20,2022-05-30 21:44:50,30,213.39475272227446,6.865047619052767,7.409619047616921
63,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 21:45:00,2022-05-30 22:00:00,2022-05-30 21:45:20,2022-05-30 21:59:50,30,226.0836398215971,6.8251428571463215,10.134380952388582
64,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 22:00:00,2022-05-30 22:15:00,2022-05-30 22:00:20,2022-05-30 22:14:50,30,223.68406302218665,6.96438095237661,7.957428571426623
65,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 22:15:00,2022-05-30 22:30:00,2022-05-30 22:15:20,2022-05-30 22:29:50,30,222.0185488290768,6.840571428580389,7.807429681546105
66,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 22:30:00,2022-05-30 22:45:00,2022-05-30 22:30:20,2022-05-30 22:44:50,30,219.285579589811,6.953809523808641,7.751383065361689
67,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 22:45:00,2022-05-30 23:00:00,2022-05-30 22:45:20,2022-05-30 22:59:50,30,222.3440619920797,6.838380952383443,7.703809523808638
68,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 23:00:00,2022-05-30 23:15:00,2022-05-30 23:00:20,2022-05-30 23:14:50,30,226.4246160164224,7.029333333327393,8.312380952383617
69,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 23:15:00,2022-05-30 23:30:00,2022-05-30 23:15:20,2022-05-30 23:29:50,30,222.4922423157652,7.070857142854396,7.801142857143925
70,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 23:30:00,2022-05-30 23:45:00,2022-05-30 23:30:20,2022-05-30 23:44:50,30,220.04641587473037,6.972306381902226,7.759528163145177
71,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 23:45:00,2022-05-31 00:00:00,2022-05-30 23:45:20,2022-05-30 23:59:50,30,221.98270203192683,6.855809523810503,7.7723809523862775
72,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 00:00:00,2022-05-31 00:15:00,2022-05-31 00:00:20,2022-05-31 00:14:50,30,224.77141463764684,6.944285714287047,8.0666666666711
73,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 00:15:00,2022-05-31 00:30:00,2022-05-31 00:15:20,2022-05-31 00:29:50,30,221.07053016349124,7.084952380947238,7.925523809534278
74,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 00:30:00,2022-05-31 00:45:00,2022-05-31 00:30:20,2022-05-31 00:44:50,30,219.37576289112206,6.942571428560079,7.718476190475662
75,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 00:45:00,2022-05-31 01:00:00,2022-05-31 00:45:20,2022-05-31 00:59:50,30,223.7046445629611,6.878761904766519,7.923999999995747
76,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-31 01:00:00,2022-05-31 01:15:00,2022-05-31 01:00:20,2022-05-31 01:14:50,30,226.35231315687494,7.050952380946618,8.082571428566284
