timestamp,Cpu_usage,Memory_usage(bytes),Memory_capacity(bytes),Memory_usage,year,month,day,hour,minute,second,api_server_requests
2022-05-24 22:43:30,10.617047619046867,79318581248.0,99329359872.0,79.85411498696183,2022,5,24,22,43,30,36.0
2022-05-24 22:44:30,10.96361904761954,79468371968.0,99329359872.0,80.00491704608416,2022,5,24,22,44,30,26.0
2022-05-24 22:45:30,11.31638095237958,79924957184.0,99329359872.0,80.46458497970255,2022,5,24,22,45,30,43.0
2022-05-24 22:46:30,11.439238095234728,80347406336.0,99329359872.0,80.88988637351439,2022,5,24,22,46,30,43.0
2022-05-24 22:47:30,10.751523809520792,79850475520.0,99329359872.0,80.3896004392847,2022,5,24,22,47,30,22.0
2022-05-24 22:48:30,10.362285714290504,79481675776.0,99329359872.0,80.01831067714866,2022,5,24,22,48,30,28.0
2022-05-24 22:49:30,10.90428571428749,79924842496.0,99329359872.0,80.46446951736579,2022,5,24,22,49,30,38.0
2022-05-24 22:50:30,10.861523809524567,79751995392.0,99329359872.0,80.2904554048992,2022,5,24,22,50,30,38.0
2022-05-24 22:51:30,10.821523809522793,80083202048.0,99329359872.0,80.62389826250626,2022,5,24,22,51,30,26.0
2022-05-24 22:52:30,10.621142857139267,80014594048.0,99329359872.0,80.55482704319265,2022,5,24,22,52,30,26.0
2022-05-24 22:53:30,10.573904761905963,80078344192.0,99329359872.0,80.61900760781337,2022,5,24,22,53,30,22.0
2022-05-24 22:54:30,10.892952380949145,79794778112.0,99329359872.0,80.33352698016671,2022,5,24,22,54,30,39.0
2022-05-24 22:55:30,11.104738041950169,78707281920.0,99329359872.0,79.23868836105007,2022,5,24,22,55,30,39.0
2022-05-24 22:56:30,10.617047619049087,77836468224.0,99329359872.0,78.36199520897281,2022,5,24,22,56,30,39.0
2022-05-24 22:57:30,10.584095238101492,77806624768.0,99329359872.0,78.33195025948511,2022,5,24,22,57,30,39.0
2022-05-24 22:58:30,10.690476190475085,77715656704.0,99329359872.0,78.24036800815757,2022,5,24,22,58,30,29.0
2022-05-24 22:59:30,10.622285714283187,78018904064.0,99329359872.0,78.54566279752376,2022,5,24,22,59,30,29.0
2022-05-24 23:00:30,11.122304330907296,78648975360.0,99329359872.0,79.1799881337707,2022,5,24,23,0,30,25.0
2022-05-24 23:01:30,12.096571428572672,79500185600.0,99329359872.0,80.03694547357125,2022,5,24,23,1,30,28.0
2022-05-24 23:02:30,11.132633744577205,78858194944.0,99329359872.0,79.39062030161071,2022,5,24,23,2,30,28.0
2022-05-24 23:03:30,11.02171428570901,78740303872.0,99329359872.0,79.27193326672806,2022,5,24,23,3,30,23.0
2022-05-24 23:04:30,11.080476190475746,78520168448.0,99329359872.0,79.05031155862113,2022,5,24,23,4,30,29.0
2022-05-24 23:05:30,10.703904761907294,78424821760.0,99329359872.0,78.95432112022219,2022,5,24,23,5,30,29.0
2022-05-24 23:06:30,11.280095238096662,78501011456.0,99329359872.0,79.03102522472682,2022,5,24,23,6,30,24.0
2022-05-24 23:07:30,11.273428571430438,78732087296.0,99329359872.0,79.26366121502997,2022,5,24,23,7,30,27.0
2022-05-24 23:08:30,11.02733333333883,78741000192.0,99329359872.0,79.27263428805841,2022,5,24,23,8,30,27.0
2022-05-24 23:09:30,10.741904761902768,79006371840.0,99329359872.0,79.53979764070858,2022,5,24,23,9,30,26.0
2022-05-24 23:10:30,10.748000000005899,79049900032.0,99329359872.0,79.58361972116505,2022,5,24,23,10,30,23.0
2022-05-24 23:11:30,10.904857142857235,79566307328.0,99329359872.0,80.10351363437003,2022,5,24,23,11,30,22.0
2022-05-24 23:12:30,10.82952380952137,78767497216.0,99329359872.0,79.29931021150556,2022,5,24,23,12,30,22.0
2022-05-24 23:13:30,10.658380952384327,79465676800.0,99329359872.0,80.00220368117022,2022,5,24,23,13,30,32.0
2022-05-24 23:14:30,10.825904761901167,79164760064.0,99329359872.0,79.69925525143326,2022,5,24,23,14,30,32.0
2022-05-24 23:15:30,10.653809523811963,79464062976.0,99329359872.0,80.00057896114576,2022,5,24,23,15,30,36.0
2022-05-24 23:16:30,10.904571428579013,79904915456.0,99329359872.0,80.4444079363532,2022,5,24,23,16,30,36.0
2022-05-24 23:17:30,10.714285714287934,79714902016.0,99329359872.0,80.25311158626612,2022,5,24,23,17,30,26.0
2022-05-24 23:18:30,10.572427317077995,79585042432.0,99329359872.0,80.12237523181126,2022,5,24,23,18,30,27.0
2022-05-24 23:19:30,10.755904761903611,79596613632.0,99329359872.0,80.13402455685967,2022,5,24,23,19,30,27.0
2022-05-24 23:20:30,10.709142857142513,79935643648.0,99329359872.0,80.47534359529594,2022,5,24,23,20,30,21.0
2022-05-24 23:21:30,10.69838095238388,80477843456.0,99329359872.0,81.02120416330796,2022,5,24,23,21,30,21.0
